PLAYER,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,P/M
Bam Adebayo,4,41.1,9,19.8,45.6,0,0.3,0,4.3,4.8,89.5,3,9.5,12.5,3.8,2.8,0,1,2.8,22.3,-6.8
Jimmy Butler,4,41,8.3,18.5,44.6,1.3,3.5,35.7,4,5,80,2,3,5,6.8,1.3,0.5,0.8,1,21.8,-8.5
Gabe Vincent,4,30,4.5,10.5,42.9,2.5,6.5,38.5,1.3,1.5,83.3,0.3,0.3,0.5,2.3,1,1,0.3,2.8,12.8,-3.8
Kyle Lowry,4,27.9,3.3,6.8,48.1,1.8,4.3,41.2,2.3,2.3,100,0.3,2.5,2.8,5,2,0.8,0,2.3,10.5,-3.5
Duncan Robinson,4,19.4,3.3,6,54.2,2,4.5,44.4,0,0.3,0,0,0.8,0.8,1.3,0.5,0.3,0,2.5,8.5,-5
Kevin Love,3,18.8,2.7,6.7,40,2.3,5.3,43.8,0.3,0.3,100,1,4.3,5.3,0.3,0,0.7,0,1.3,8,-1.7
Caleb Martin,4,27.6,2.8,7.8,35.5,1.3,2.8,45.5,0,0,0,1.3,3,4.3,1.3,1,1,0.5,2.8,6.8,-5.3
Haywood Highsmith,4,8,1.8,2.5,70,0.5,1,50,0.5,0.5,100,0.5,0.3,0.8,0,0.3,0.5,0.3,1.3,4.5,-5
Max Strus,4,23.3,1.3,7.8,16.1,1.3,6.5,19.2,0.5,0.8,66.7,0.8,3.3,4,3.5,0,0.3,0.5,1.8,4.3,-4
Cody Zeller,4,6.4,0.5,0.8,66.7,0,0,0,0,0,0,0.3,0.8,1,0.3,0.5,0,0.3,1.5,1,-2.5
Nikola Jovic,2,1,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5
Omer Yurtseven,2,0.9,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5
Udonis Haslem,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
